Country name,cluster,rank,Ladder score
Finland,0,1,7.804
Denmark,0,2,7.586
Iceland,0,3,7.53
Israel,0,4,7.473
Netherlands,0,5,7.403
Sweden,0,6,7.395
Norway,0,7,7.315
Switzerland,0,8,7.24
Luxembourg,0,9,7.228
New Zealand,0,10,7.123
Austria,0,11,7.097
Australia,0,12,7.095
Canada,0,13,6.961
Ireland,0,14,6.911
United States,0,15,6.894
Germany,0,16,6.892
Belgium,0,17,6.859
Czechia,0,18,6.845
United Kingdom,0,19,6.796
Lithuania,0,20,6.763
France,0,21,6.661
Slovenia,0,22,6.65
Costa Rica,0,23,6.609
Romania,0,24,6.589
Singapore,0,25,6.587
United Arab Emirates,0,26,6.571
Taiwan Province of China,0,27,6.535
Uruguay,0,28,6.494
Slovakia,0,29,6.469
Saudi Arabia,0,30,6.463
Estonia,0,31,6.455
Spain,0,32,6.436
Italy,0,33,6.405
Kosovo,0,34,6.368
Chile,0,35,6.334
Mexico,0,36,6.33
Malta,0,37,6.3
Panama,0,38,6.265
Poland,0,39,6.26
Nicaragua,0,40,6.259
Latvia,0,41,6.213
Bahrain,0,42,6.173
Guatemala,0,43,6.15
Kazakhstan,0,44,6.144
Serbia,0,44,6.144
Cyprus,0,46,6.13
Japan,0,47,6.129
Croatia,0,48,6.125
Brazil,0,48,6.125
El Salvador,0,50,6.122
Hungary,0,51,6.041
Argentina,0,52,6.024
Honduras,0,53,6.023
Uzbekistan,0,54,6.014
Malaysia,0,55,6.012
Portugal,2,56,5.968
South Korea,2,57,5.951
Greece,2,58,5.931
Mauritius,2,59,5.902
Thailand,2,60,5.843
Mongolia,2,61,5.84
Kyrgyzstan,2,62,5.825
Moldova,2,63,5.819
China,2,64,5.818
Vietnam,2,65,5.763
Paraguay,2,66,5.738
Montenegro,2,67,5.722
Jamaica,2,68,5.703
Bolivia,2,69,5.684
Russia,2,70,5.661
Bosnia and Herzegovina,2,71,5.633
Colombia,2,72,5.63
Dominican Republic,2,73,5.569
Ecuador,2,74,5.559
Peru,2,75,5.526
Philippines,2,76,5.523
Bulgaria,2,77,5.466
Nepal,2,78,5.36
Armenia,2,79,5.342
Tajikistan,2,80,5.33
Algeria,2,81,5.329
Hong Kong S.A.R. of China,2,82,5.308
Albania,2,83,5.277
Indonesia,2,83,5.277
South Africa,2,85,5.275
Congo (Brazzaville),2,86,5.267
North Macedonia,2,87,5.254
Venezuela,2,88,5.211
Laos,2,89,5.111
Georgia,2,90,5.109
Guinea,2,91,5.072
Ukraine,2,92,5.071
Ivory Coast,2,93,5.053
Gabon,2,94,5.035
Nigeria,2,95,4.981
Cameroon,2,96,4.973
Mozambique,2,97,4.954
Iraq,2,98,4.941
State of Palestine,2,99,4.908
Morocco,2,100,4.903
Iran,2,101,4.876
Senegal,2,102,4.855
Mauritania,2,103,4.724
Burkina Faso,1,104,4.638
Namibia,1,105,4.631
Turkiye,1,106,4.614
Ghana,1,107,4.605
Pakistan,1,108,4.555
Niger,1,109,4.501
Tunisia,1,110,4.497
Kenya,1,111,4.487
Sri Lanka,1,112,4.442
Uganda,1,113,4.432
Chad,1,114,4.397
Cambodia,1,115,4.393
Benin,1,116,4.374
Myanmar,1,117,4.372
Bangladesh,1,118,4.282
Gambia,1,119,4.279
Mali,1,120,4.198
Egypt,1,121,4.17
Togo,1,122,4.137
Jordan,1,123,4.12
Ethiopia,1,124,4.091
Liberia,1,125,4.042
India,1,126,4.036
Madagascar,1,127,4.019
Zambia,1,128,3.982
Tanzania,1,129,3.694
Comoros,1,130,3.545
Malawi,1,131,3.495
Botswana,1,132,3.435
Congo (Kinshasa),1,133,3.207
Zimbabwe,1,134,3.204
Sierra Leone,1,135,3.138
Lebanon,1,136,2.392
Afghanistan,1,137,1.859
